sr,dms_code,exam_centre_name,venue_address,pincode,region,state,city,venue_status,blacklist_info,ffa_frequency,deo_remarks_summary,suspicious_summary,call_log_summary,market_remark,final_analysis,reason
16,EST-JH-1396,DEXIT GLOBAL LIMITED-DALTONGANJ,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLR, GOPAL COMPLEX,ARHAT ROAD, GHANSPTTI, LANDMARK - ABOVE GRAMIN BANK, DALTONGANJ, JHARKHAND - 822101",822101.0,EAST,JHARKHAND,DALTONGANJ,ACTIVE,,0,,,"PC Changed(2), Power Related(2)",,Average,"PC Changed(2), Power Related(2)"
17,EST-JH-1394,DEXIT GLOBAL LIMITED-DEOGHAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, SHOP NO-201, BHAGWAN COMPLEX, SHAILBALA ROY ROAD, NEAR BHAGWAN TALKIES, LAND MARK - NEAR BHAGWAN TALKIES, PS/PO - B. DEOGHAR, JHARKHAND - 814112",814112.0,EAST,JHARKHAND,DEOGHAR,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
18,EST-JH-1393,DEXIT GLOBAL LIMITED-DHANBAD,"( FORMERLY KNOWN AS NSEIT LIMITED ), GEETA TOWER - 2ND FLOOR, KARBALA ROAD, OPP. BADA GURUDWARA, BANK MORE, LANDMARK - NEAR GUJRATI SCHOOL, DHANBAD, JHARKHAND - 826001",826001.0,EAST,JHARKHAND,DHANBAD,ACTIVE,,2,,,,,Sensitive Venue,Found in FFA
19,EST-JH-1395,DEXIT GLOBAL LIMITED-HAZARIBAUG,"( FORMERLY KNOWN AS NSEIT LIMITED ), 3RD FLOOR, VINAYAKA TOWERS, GURU GOVIND SINGH ROAD, ANANDA CHOWK, ABOVE HDFC BANK, HAZARIBAGH, JHARKHAND - 825301",825301.0,EAST,JHARKHAND,HAZARIBAGH,ACTIVE,,1,,,,,Sensitive Venue,Found in FFA
20,EST-JH-1399,DEXIT GLOBAL LIMITED-JAMSHEDPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2B ,2ND FLOOR, BALA PRASAD TOWER, HOLDING NO 6, SB SHOP AREA, DIAGONAL AREA, BISTUPUR, LANDMARK - NEAR BY DAINIK BHASKAR OFFICE., JAMSHEDPUR, JHARKHAND - 831001",831001.0,EAST,JHARKHAND,JAMSHEDPUR,ACTIVE,,0,,,,,Good,Good
21,EST-JH-1398,DEXIT GLOBAL LIMITED-RANCHI,"( FORMERLY KNOWN AS NSEIT LIMITED ), UNIT NO. 402, 4TH FLOOR, ESTATE PLAZA, NEAR KANTATOLI CHOWK, BEHIND MANGAL TOWER, RANCHI, JHARKHAND - 834001",834001.0,EAST,JHARKHAND,RANCHI,ACTIVE,,0,,,,,Good,Good
22,EST-MN-1196,DEXIT GLOBAL LIMITED-IMPHAL,"( FORMERLY KNOWN AS NSEIT LIMITED ), NONGMEIBUNG WANGKHEIRAKPAM, LAIKAI, IMPHAL EAST, MANIPUR - 795005, LAND MARK: NEAR ANANDA SINGH ACADEMY, IMPHAL, MANIPUR - 795005",795005.0,EAST,MANIPUR,IMPHAL,ACTIVE,,0,,,,,Good,Good
23,EST-ML-1200,DEXIT GLOBAL LIMITED-SHILLONG,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, 209, TEMPLE ROAD, LOWER LACHUMIERE, NEAR SHILLONG PRESS CLUB, SHILLONG, MEGHALAYA - 793005",793005.0,EAST,MEGHALAYA,SHILLONG,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
24,EST-MZ-1202,DEXIT GLOBAL LIMITED-AIZAWL,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, VC-35, VAIVAKAWN, BAZAR BUNGKAWN ROAD-VAIVAKAWN NEAR HEALTH SUB CENTER,AIZAWL, MIZORAM -796009",796009.0,EAST,MIZORAM,AIZAWL,ACTIVE,,0,,,,,Good,Good
25,EST-NL-1288,DEXIT GLOBAL LIMITED-DIMAPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, DAG NO 1063, PATTA NO 780,WARD NO 6, MOUZA 1, EROSS LANE (ZAKIESATUO ROAD), GREEN HOUSE BUILDING, ABOVE PHILIPS & POLYCAB, LANDMARK ELECTRONIC AND ELECTRICALS, DIMAPUR, NAGALAND - 797112",797112.0,EAST,NAGALAND,DIMAPUR,ACTIVE,,0,,,,,Good,Good
26,EST-OR-1474,DEXIT GLOBAL LIMITED-BALANGIR,"( FORMERLY KNOWN AS NSEIT LIMITED ), PANDA COMPLEX, 1ST FLOOR, ABOVE LAYERS UNISEX SALON, TIKRAPADA, LANDMARK - NEAR BIKRAM CHOWK, RAILWAY STATION ROAD, BALANGIR, ODISHA - 767001",767001.0,EAST,ODISHA,BALANGIR,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
27,EST-OR-1465,DEXIT GLOBAL LIMITED-BERHAMPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, PREM NAGAR 1ST LANE, OPPOSITE ROTARY CLUB, BERHAMPUR, ODHISHA - 760001",760001.0,EAST,ODISHA,BERHAMPUR,ACTIVE,,0,,,,,Good,Good
28,EST-OR-1467,DEXIT GLOBAL LIMITED-BHADRAK,"( FORMERLY KNOWN AS NSEIT LIMITED ), NH-05, HOUSE NO 6, 1ST FLOOR, DAHANI GADIA, CHARAMPA, NEXT TO SHANKAR BAJAJ SHOWROOM, OPPOSITE OF KALYANI HOTEL(ACROSS THE BRIDGE), BHADRAK, ODISHA - 756101",756101.0,EAST,ODISHA,BHADRAK,ACTIVE,,0,,,,,Good,Good
29,EST-OR-1466,DEXIT GLOBAL LIMITED-BHUBANESHWAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 363 & 364, 3RD FLOOR, KESHAB COMPLEX, CUTTACK PURI ROAD, BOMIKHAL, RASULGARH, LANDMARK - OPPOSITE ESPLANADE MALL, BHUBANESHWAR, ODISHA - 751010",751010.0,EAST,ODISHA,BHUBANESWAR,ACTIVE,,3,,,PC Changed(4),,Sensitive Venue,Found in FFA
30,EST-OR-1472,DEXIT GLOBAL LIMITED-DHENKANAL,"( FORMERLY KNOWN AS NSEIT LIMITED ), GROUND FLOOR,MUTHOOT FINANCE BUILDING, KUNJA SAHU CHOWK, GANESH BAZAR, DHENKANAL, ODISHA - 759001",759001.0,EAST,ODISHA,DHENKANAL,ACTIVE,,0,,,,,Good,Good
31,EST-OR-1468,DEXIT GLOBAL LIMITED-JEYPORE,"( FORMERLY KNOWN AS NSEIT LIMITED ), FIRST FLOOR, PLOT NO 287, CHRISTIAN PETTA SQUARE, NH - 26, LANDMARK - JEYPORE GUEST HOUSE BUILDING ABOVE INDANE GAS OFFICE, JEYPORE, DISTRICT - KORAPUT, ODISHA - 764001",764001.0,EAST,ODISHA,JEYPORE,ACTIVE,,0,,,,,Good,Good
32,EST-OR-1471,DEXIT GLOBAL LIMITED-KENDRAPARA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, MANAPURAM FINANCE AND GOLD LOAN BUILDING, LAND MARK: NEAR COLLEGE SQUARE, CUTTACK CHANDBALI ROAD, KENDRAPARA, ODISHA - 754211",754211.0,EAST,ODISHA,KENDRAPARA,ACTIVE,,0,,,,,Good,Good
33,EST-OR-1470,DEXIT GLOBAL LIMITED-KEONJHAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, PARIDA MARKET COMPLEX, PABITRA DIHA, BESIDE POLICE HIGH SCHOOL, POLICE HIGH SCHOOL LANE, OPPOSITE OF PWD OFFICE, KENDUJHAR, ODISHA - 758001",758001.0,EAST,ODISHA,KENDUJHAR,ACTIVE,,0,,,Power Related(4),,Average,Power Related(4)
34,EST-OR-1469,DEXIT GLOBAL LIMITED-ROURKELA,"( FORMERLY KNOWN AS NSEIT LIMITED ), D-17, 1ST FLOOR, KOEL NAGAR, ABOVE CANARA BANK, ROURKELA, ODISHA - 769014",769014.0,EAST,ODISHA,ROURKELA,ACTIVE,,0,,,,,Good,Good
35,EST-OR-1473,DEXIT GLOBAL LIMITED-SAMBALPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), QUALITY MANSION, LST FLOOR, NAYAPARA, OPPOSITE BAZAR KOLKOTA, SAMBALPUR, ODISHA - 768001",768001.0,EAST,ODISHA,SAMBALPUR,ACTIVE,,0,,,Power Related(4),,Average,Power Related(4)
36,EST-SK-1209,DEXIT GLOBAL LIMITED-GANGTOK,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, SICHEY BARPIPAL, INDIRA BYPASS ROAD, NEAR K.B.T PETROL PUMP(SICHEY PETROL PUMP), GANGTOK, SIKKIM - 737101",737101.0,EAST,SIKKIM,GANGTOK,ACTIVE,,0,,,,,Good,Good
37,EST-TR-1366,DEXIT GLOBAL LIMITED-AGARTALA,"( FORMERLY KNOWN AS NSEIT LIMITED ), GR FLR, NS ELECTRICALS, BHATTAPUKUR, BESIDES NAGERJALA BUS STAND, POST ARUNDHUTI NAGAR, AGARTALA, TRIPURA - 799003",799003.0,EAST,TRIPURA,AGARTALA,ACTIVE,,0,,,,,Good,Good
38,EST-TR-1367,DEXIT GLOBAL LIMITED-DHARMANAGAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), HOUSE NO. 227 / W-16, 3RD FLOOR, D.K. ROAD, OFFICE TILLA, LANDMARK-ABOVE HDFC BANK, DHARMANAGAR, TRIPURA - 799250",799250.0,EAST,TRIPURA,DHARMANAGAR,ACTIVE,,0,,,"PC Changed(1), Power Related(2)",,Average,"PC Changed(1), Power Related(2)"
39,EST-WB-1444,DEXIT GLOBAL LIMITED-BANKURA,"( FORMERLY KNOWN AS NSEIT LIMITED ), HOLDING NO: 81/1, GROUND FLOOR, BANKURA RAGHUNATHPUR MAIN ROAD, NUTANCHOTTI, BESIDES STATE BANK OF INDIA, IN FRONT OF P.C. CHANDRA JEWELLERS, BANKURA, WEST BENGAL - 722101",722101.0,EAST,WEST BENGAL,BANKURA,ACTIVE,,0,,,,,Good,Good
40,EST-WB-1436,DEXIT GLOBAL LIMITED-BARDDHAMAN,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, DVC MORE, G.T ROAD.SRIPALLY., OPP.: - GHOR DUAR CHOTI POST OFFICE., LANDMARK-ABOVE ECO RIDEZ TOTO SHOWROOM.DIST.:-PURVA BURDWAN, WEST BENGAL - 713101",713101.0,EAST,WEST BENGAL,BARDHAMAN,ACTIVE,,0,,,"PC Changed(2), Power Related(1)",,Average,"PC Changed(2), Power Related(1)"
41,EST-WB-1441,DEXIT GLOBAL LIMITED-BERHAMPORE,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, CHUAPUR, SUKANTA PALLY, NH -34, LAND MARK - NEAR SANJOY HOTEL AND RESTAURANT, MURSHIDABAD, WEST BENGAL - 742165",742165.0,EAST,WEST BENGAL,BERHAMPORE,ACTIVE,,1,,,,,Sensitive Venue,Found in FFA
42,EST-WB-1437,DEXIT GLOBAL LIMITED-COOCH BEHAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), GROUND FLOOR, HOLDING NO.782/12255, NATUN BAZAR, KALIKA DAS ROAD, BESIDE UCO BANK & SBI ATM, NEAR SAGAR HOTEL, KOTOWALI, COOCH BEHAR, WEST BENGAL - 736101",736101.0,EAST,WEST BENGAL,COOCH BEHAR,ACTIVE,,0,,,,,Good,Good
43,EST-WB-1434,DEXIT GLOBAL LIMITED-DURGAPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), M.K. PLOT - PLOT NO. 218, 2ND FLOOR, SECON LANE, NEAR - ANURADHA CINEMA BUS STOP, OPPOSITE RADHALAYA LODGE (SECON LANE), BENACHITY, DURGAPUR, WEST BENGAL - 713213",713213.0,EAST,WEST BENGAL,DURGAPUR,ACTIVE,,1,,,,,Sensitive Venue,Found in FFA
44,EST-WB-1433,DEXIT GLOBAL LIMITED-HOWRAH,"( FORMERLY KNOWN AS NSEIT LIMITED ), GROUND FLOOR, 37 ABHOY GUHA ROAD (LILUAH), BESIDE SANGVI DANCE CLASSES, LANDMARK - BEHIND SOHANLAL DEORALIA BALIKA VIDYALAYA, HOWRAH, WEST BENGAL - 711204",711204.0,EAST,WEST BENGAL,HOWRAH,ACTIVE,,0,,,,,Good,Good
45,EST-WB-1443,DEXIT GLOBAL LIMITED-KHARAGPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), UNIT NO. 1A2, 1ST FLOOR, BLOCK A, GREEN WOOD APARTMENT (ADAMS BUILDING), NEW TOWN INDA, LANDMARK - INDA LIC MORE, KHARAGPUR, WEST BENGAL - 721305",721305.0,EAST,WEST BENGAL,KHARAGPUR,ACTIVE,,1,,,,,Sensitive Venue,Found in FFA
46,EST-WB-1445,DEXIT GLOBAL LIMITED-KOLKATA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 16 C, BIPIN PAL ROAD, BESIDE STATE BANK OF INDIA, DESHAPRIYA PARK BRANCH, OPPOSITE DESHAPRIYA PARK, KOLKATA, WEST BENGAL - 700026",700026.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,6,,,PC Changed(1),,Sensitive Venue,Found in FFA
47,EST-WB-1451,DEXIT GLOBAL LIMITED-KOLKATA III CENTRE,"INSURANCE INSTITUTE OF INDIA (COLLEGE OF INSURANCE), 2ND FLOOR 2A & 2C,CBD/1, SYNTHESIS BUSINESS PARK, OPP ECO PARK GATE 2, ACTION AREA II, NEW TOWN, ADJACENT MOTHER'S WAX MUSEUM, KOLKATA, WEST BENGAL - 700161",700161.0,EAST,WEST BENGAL,KOLKATA,ACTIVE,,0,,,,,Good,Good
48,EST-WB-1442,DEXIT GLOBAL LIMITED-KRISHNANAGAR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, 2, D.L.ROY ROAD, SADAR MORE KRISHNANAGAR, NADIA, LANDMARK - ABOVE BANK OF MAHARASHTRA AND ICICI BANK, KRISHNANAGAR, WEST BENGAL - 741101",741101.0,EAST,WEST BENGAL,KRISHNANAGAR,ACTIVE,,0,,,"PC Changed(1), Power Related(1)",,Average,"PC Changed(1), Power Related(1)"
49,EST-WB-1435,DEXIT GLOBAL LIMITED-MALDA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, BUILDING NO-21/7/7, SARJU PRASAD ROAD, NORTH BALUCHAR, OPP MALDA DISTRICT CENTRAL CO-OP BANK, MALDA, WEST BENGAL - 732101",732101.0,EAST,WEST BENGAL,MALDA,ACTIVE,,0,,,,,Good,Good
50,EST-WB-1438,DEXIT GLOBAL LIMITED-PURULIA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, ONKAR TOWER, RANCHI ROAD, LANDMARK - OPPOSITE SBSTC BUS STAND, PURULIA, WEST BENGAL - 723101",723101.0,EAST,WEST BENGAL,PURULIA,ACTIVE,,0,,,Power Related(2),,Average,Power Related(2)
51,EST-WB-1440,DEXIT GLOBAL LIMITED-SILIGURI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, RAJANI CENTRE, RAJANI BAGAN, LANE ADJOINING MUKHERJEE NURSING HOME, HILL CART ROAD, SILIGURI, WEST BENGAL - 734001",734001.0,EAST,WEST BENGAL,SILIGURI,ACTIVE,,0,,,"PC Changed(1), Power Related(3)",,Average,"PC Changed(1), Power Related(3)"
52,EST-WB-1439,DEXIT GLOBAL LIMITED-SIURI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, JK COMPLEX, JL BANERJEE ROAD ( MADRASA ROAD), ABOVE PUNJAB NATIONAL BANK AND ATM, SIURI, WEST BENGAL - 731101",731101.0,EAST,WEST BENGAL,SIURI,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
53,NR1-BR-3469,DEXIT GLOBAL LIMITED-ARRAH,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, HARSH ENTERPRISES, JANTA ULTRA SOUND WALI GALI, NEAR R.L MEMORIAL HOSPITAL, JUDGE KOTHI MORE, DISTRICT - BHOJPUR, CITY - ARRAH, P.O - ARRAH, BIHAR - 802301",802301.0,NORTH ONE,BIHAR,ARRAH,ACTIVE,,0,,,,,Good,Good
54,NR1-BR-3468,DEXIT GLOBAL LIMITED-BEGUSARAI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 3RD FLOOR, SRI RAM MARKET, NEAR KALI ASTHAN CHOWK, MATIHANI ROAD, WARD NO. 40, BEGUSARAI, BIHAR - 851101",851101.0,NORTH ONE,BIHAR,BEGUSARAI,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
55,NR1-BR-3464,DEXIT GLOBAL LIMITED-BHAGALPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, RATAN COMPLEX, HOLDING NO.68, INDIAN BANK BUILDING, NEAR HOTEL ASHOKA GRAND, PATAL BABU ROAD, BHAGALPUR, BIHAR - 812001",812001.0,NORTH ONE,BIHAR,BHAGALPUR,ACTIVE,,0,,,,,Good,Good
56,NR1-BR-3465,DEXIT GLOBAL LIMITED-CHHAPRA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, B P MEDICINE COMPLEX, SRI NANDAN PATH, LAND MARK - OPPOSITE BISESHWAR SEMINARY SCHOOL, CHAPRA, BIHAR - 841301",841301.0,NORTH ONE,BIHAR,CHHAPRA,ACTIVE,,0,,,,,Good,Good
57,NR1-BR-3472,DEXIT GLOBAL LIMITED-DEHRI,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, KRISHNA COMPLEX, USHA SWATHYA CLINIC, PANI TANKI ROAD, WARD NO. 27, LANDMARK - NEAR INDIAN BANK, DEHRI-ON-SONE, ROHTAS, BIHAR - 821307",821307.0,NORTH ONE,BIHAR,DEHRI,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
58,NR1-BR-3471,DEXIT GLOBAL LIMITED-GAYA,"( FORMERLY KNOWN AS NSEIT LIMITED ), URMILA SADAN, GROUND FLOOR, DANDIBAG BYPASS ROAD, LANDMARK - NEAR NEW POOL HANUMAN MANDIR, GAYA, BIHAR - 823001",823001.0,NORTH ONE,BIHAR,GAYA,ACTIVE,,0,,,PC Changed(1),,Average,PC Changed(1)
59,NR1-BR-3466,DEXIT GLOBAL LIMITED-MOTIHARI,"( FORMERLY KNOWN AS NSEIT LIMITED ), MANJU COMPLEX, GROUND FLOOR, MAHILA COLLEGE ROAD,SHASTRI NAGAR,BHAWANI PUR ZIRAT, LANDMARK - NEAR DR MANOJ GUPTA STONE CLINIC, EAST CHAMPARAN, BIHAR - 845401",845401.0,NORTH ONE,BIHAR,MOTIHARI,ACTIVE,,0,,,,,Good,Good
60,NR1-BR-3463,DEXIT GLOBAL LIMITED-MUZAFFARPUR,"( FORMERLY KNOWN AS NSEIT LIMITED ), 2ND FLOOR, BHAWNI-VAIBHAV COMPLEX., JAISWAL COMPOUND, PANI TANKI CHOWK, CLUB ROAD, MITHANPURA, RAMNA, NEAR DAINIK JAGARAN OFFICE., MUZAFFARPUR, BIHAR - 842002",842002.0,NORTH ONE,BIHAR,MUZAFFARPUR,ACTIVE,,0,,,,,Good,Good
61,NR1-BR-3470,DEXIT GLOBAL LIMITED-PATNA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 4TH FLOOR, K.K COMPLEX, RAMJAIPAL ROAD, OPP. OF GOLA ROAD, BAILEY, ROAD, NEAR PNB BANK, PATNA, BIHAR - 801503",801503.0,NORTH ONE,BIHAR,PATNA,ACTIVE,,0,,,Power Related(1),,Average,Power Related(1)
62,NR1-BR-3473,DEXIT GLOBAL LIMITED-PURNEA,"( FORMERLY KNOWN AS NSEIT LIMITED ), RATAN SHOPPERS POINT, CHITRAWANI ROAD, BHATTA BAZAR, NEAR HARSHA HOTEL, PURNEA, BIHAR - 854301",854301.0,NORTH ONE,BIHAR,PURNIA,ACTIVE,,0,,,,,Good,Good
63,NR1-BR-3467,DEXIT GLOBAL LIMITED-SAHARSA,"( FORMERLY KNOWN AS NSEIT LIMITED ), 1ST FLOOR, DEO MARKET,PURAB BAZZAR, VIP ROAD, LAND MARK - NEAR SAHARSA COLLEGE, SAHARSA, BIHAR - 852201",852201.0,NORTH ONE,BIHAR,SAHARSA,ACTIVE,,0,,,,,Good,Good
64,NR1-UP-3554,DEXIT GLOBAL LIMITED-AGRA,"( FORMERLY KNOWN AS NSEIT LIMITED ), BLOCK NO.E-12/8, B WING, 4TH FLOOR, SHREE VRINDAVAN, TOWER, NEAR KOTAK LIFE INSURANCE, SANJAY, PALACE, AGRA, UTTAR PRADESH - 282002",282002.0,NORTH ONE,UTTAR PRADESH,AGRA,ACTIVE,,0,,,,,Good,Good
